user_id,product_id,product_name,category,price,rating,review_text,num_reviews,price_norm,combined_text
U0635,P0396,Pull-Up Bar Doorway v10,Sports,46550.71,5.0,"Good quality and fast delivery, very satisfied.",14,0.9370306425641259,"pull-up bar doorway v10 sports good quality and fast delivery, very satisfied."
U0030,P0425,Bamboo Cutting Board v3,Home & Kitchen,3065.43,5.0,Great build quality and easy to use.,9,0.053140012171330374,bamboo cutting board v3 home & kitchen great build quality and easy to use.
U0160,P0235,Cotton Polo T-Shirt v4,Clothing,9922.1,5.0,Average product but serves the purpose well.,15,0.1925100787477758,cotton polo t-shirt v4 clothing average product but serves the purpose well.
U0619,P0151,Python Machine Learning Guide v6,Books,45430.64,5.0,Great build quality and easy to use.,19,0.9142638723286794,python machine learning guide v6 books great build quality and easy to use.
U0827,P0152,Deep Learning with TensorFlow v6,Books,12129.18,5.0,"Excellent product, highly recommend to everyone.",19,0.23737163494627173,"deep learning with tensorflow v6 books excellent product, highly recommend to everyone."
U0550,P0396,Pull-Up Bar Doorway v10,Sports,46550.71,5.0,"Good quality and fast delivery, very satisfied.",14,0.9370306425641259,"pull-up bar doorway v10 sports good quality and fast delivery, very satisfied."
U0301,P0439,Instant Pot Pressure Cooker v4,Home & Kitchen,35369.86,5.0,Solid performance and great value for money.,17,0.7097664153399414,instant pot pressure cooker v4 home & kitchen solid performance and great value for money.
U0722,P0024,Gaming Mechanical Keyboard v3,Electronics,18443.82,5.0,"Worth every rupee, performs as described.",17,0.3657242896906718,"gaming mechanical keyboard v3 electronics worth every rupee, performs as described."
U0861,P0104,Clean Code by Robert Martin,Books,25525.82,5.0,Okay quality but packaging could be better.,23,0.5096744595974029,clean code by robert martin books okay quality but packaging could be better.
U0967,P0013,4K Smart TV v2,Electronics,41654.64,5.0,"Good quality and fast delivery, very satisfied.",21,0.8375121296616621,"4k smart tv v2 electronics good quality and fast delivery, very satisfied."
U0795,P0207,Sports Compression Shorts,Clothing,5252.28,5.0,Solid performance and great value for money.,9,0.09759036928239152,sports compression shorts clothing solid performance and great value for money.
U0047,P0422,Stainless Steel Water Bottle v3,Home & Kitchen,39521.98,5.0,Average product but serves the purpose well.,19,0.7941632494931661,stainless steel water bottle v3 home & kitchen average product but serves the purpose well.
U0792,P0297,Sports Compression Shorts v10,Clothing,38544.68,5.0,Great build quality and easy to use.,19,0.7742984512652857,sports compression shorts v10 clothing great build quality and easy to use.
U0719,P0123,Data Science Handbook v3,Books,16035.57,5.0,"Good quality and fast delivery, very satisfied.",12,0.31677371122725956,"data science handbook v3 books good quality and fast delivery, very satisfied."
U0995,P0411,Air Fryer 5L Digital v2,Home & Kitchen,16100.82,5.0,"Best in its category, no complaints at all.",19,0.3180999959754118,"air fryer 5l digital v2 home & kitchen best in its category, no complaints at all."
U0936,P0332,Resistance Bands Kit v4,Sports,37939.74,5.0,Solid performance and great value for money.,16,0.7620023180001941,resistance bands kit v4 sports solid performance and great value for money.
U0143,P0358,Cricket Bat Kashmir Willow v6,Sports,29370.62,5.0,Average product but serves the purpose well.,19,0.5878246450333532,cricket bat kashmir willow v6 sports average product but serves the purpose well.
U0685,P0486,Coffee Maker Drip v9,Home & Kitchen,45076.67,5.0,Okay quality but packaging could be better.,15,0.9070690062397376,coffee maker drip v9 home & kitchen okay quality but packaging could be better.
U0934,P0321,Adjustable Dumbbell Set v3,Sports,27550.49,5.0,Solid performance and great value for money.,19,0.5508283130999533,adjustable dumbbell set v3 sports solid performance and great value for money.
U0695,P0176,Designing Data-Intensive Applications v8,Books,8882.45,5.0,Okay quality but packaging could be better.,16,0.17137794176055,designing data-intensive applications v8 books okay quality but packaging could be better.
U0112,P0040,RGB Gaming Mouse v4,Electronics,22118.59,5.0,"Worth every rupee, performs as described.",12,0.44041841082427224,"rgb gaming mouse v4 electronics worth every rupee, performs as described."
U0224,P0271,Men's Running Shoes v8,Clothing,40505.19,5.0,Solid performance and great value for money.,18,0.814148175580994,men's running shoes v8 clothing solid performance and great value for money.
U0733,P0229,Formal Oxford Shoes v3,Clothing,44622.92,5.0,Great build quality and easy to use.,17,0.8978459916117824,formal oxford shoes v3 clothing great build quality and easy to use.
U0054,P0357,Badminton Racket Set v6,Sports,1519.26,5.0,"Worth every rupee, performs as described.",23,0.02171224682189652,"badminton racket set v6 sports worth every rupee, performs as described."
U0601,P0399,Football Size 5 Pro v10,Sports,37592.38,5.0,"Absolutely love this product, bought two already.",20,0.7549418081133258,"football size 5 pro v10 sports absolutely love this product, bought two already."
U0156,P0222,Women's Yoga Pants v3,Clothing,28500.77,5.0,Okay quality but packaging could be better.,12,0.5701438973217787,women's yoga pants v3 clothing okay quality but packaging could be better.
